collision_index,vehicle_reference,vehicle_type,vehicle_manoeuvre,vehicle_direction_from,vehicle_direction_to,sex_of_driver,age_band_of_driver
2568,1,9,99,9,9,2,5
2569,2,9,99,9,9,3,-1
2570,1,3,99,9,9,2,6
2571,2,8,99,9,9,3,-1
2572,1,3,18,8,4,1,5
2573,2,9,2,0,0,3,-1
2574,1,9,17,5,1,1,8
2575,2,9,16,1,5,1,6
2576,1,9,2,0,0,3,-1
2577,2,1,14,7,3,1,6
2578,1,9,2,0,0,3,-1
2579,2,9,18,7,3,1,5
2580,1,9,18,1,5,1,7
2581,2,9,18,1,5,1,5
2582,3,3,18,5,1,1,6
2583,1,9,18,2,6,2,6
2584,1,9,99,9,9,1,7
2585,2,9,99,9,9,3,7
2586,1,19,18,8,4,1,5
2587,2,19,18,8,4,1,7
2588,1,3,99,9,9,1,5
2589,2,9,99,9,9,3,-1
2590,1,3,99,9,9,1,6
2591,2,9,99,9,9,3,-1
2592,1,3,13,6,2,1,8
2593,2,9,9,5,2,1,8
2594,1,9,13,5,1,2,7
2595,2,1,16,5,1,1,6
2596,1,9,9,7,5,1,9
2597,2,1,14,7,3,1,7
2598,1,3,99,9,9,1,5
2599,2,9,99,9,9,3,-1
2600,1,9,5,5,1,2,7
2601,1,3,18,1,5,1,8
2602,1,11,18,7,3,2,8
2603,2,19,2,0,0,3,-1
2604,1,9,99,9,9,2,7
2605,1,9,99,5,1,1,6
2606,2,90,99,5,1,3,-1
2607,1,3,99,9,9,3,6
2608,2,9,99,9,9,3,-1
2609,1,3,99,9,9,1,6
2610,2,9,99,9,9,3,-1
2611,1,9,18,5,1,2,11
2612,2,9,18,5,1,1,8
2613,3,9,18,5,1,1,9
2614,1,1,99,9,9,2,9
2615,2,11,99,9,9,3,-1
2616,1,3,99,9,9,1,9
2617,2,9,99,9,9,3,-1
2618,1,8,9,3,2,1,6
2619,2,1,18,7,3,1,5
2620,1,9,99,9,9,1,7
2621,1,4,18,4,8,1,5
2622,2,9,18,8,4,1,8
2623,1,9,99,9,9,3,-1
2624,1,1,99,9,9,1,8
2625,2,9,99,9,9,3,-1
2626,1,3,18,6,2,1,9
2627,2,1,9,4,2,1,7
2628,1,5,99,9,9,1,6
2629,2,9,99,9,9,3,-1
2630,1,3,99,9,9,1,5
2631,2,9,99,9,9,3,-1
2632,1,9,9,2,7,1,7
2633,2,1,18,3,7,1,4
2634,1,9,99,9,9,1,6
2635,2,9,99,9,9,3,-1
2636,1,9,3,5,1,1,8
2637,2,9,4,5,1,1,7
2638,1,1,99,9,9,1,6
2639,2,9,99,9,9,1,8
2640,1,9,17,5,1,1,4
2641,2,9,17,5,1,2,8
2642,1,3,14,1,5,1,6
2643,2,9,9,3,1,1,7
2644,1,1,99,9,9,2,8
2645,2,9,99,9,9,3,-1
2646,1,9,18,3,7,1,10
2647,1,1,99,9,9,1,6
2648,2,19,99,9,9,3,-1
2649,3,1,99,9,9,3,-1
2650,1,9,99,9,9,1,7
2651,2,11,99,9,9,3,-1
2652,1,1,99,9,9,2,7
2653,2,9,99,9,9,3,-1
2654,1,9,18,3,7,1,5
2655,1,4,13,3,7,1,9
2656,1,9,18,1,5,1,6
2657,2,1,15,1,5,1,6
2658,1,9,18,5,1,2,8
2659,2,9,18,5,1,2,5
2660,1,5,9,6,3,2,7
2661,2,9,9,3,8,1,5
2662,1,11,18,5,1,1,9
2663,1,9,18,7,3,1,4
2664,1,9,2,0,0,3,-1
2665,2,1,18,5,1,2,6
2666,1,3,99,9,9,1,4
2667,2,9,99,9,9,3,-1
2668,1,9,9,5,3,1,8
2669,2,1,18,1,5,1,5
2670,1,19,18,1,5,1,6
2671,2,3,13,1,5,1,6
2672,1,9,5,3,7,1,6
2673,2,9,2,0,0,3,-1
2674,3,19,5,3,7,1,6
2675,1,19,18,1,5,1,5
2676,2,1,18,7,3,2,7
2677,1,90,10,3,1,1,7
2678,2,1,18,1,5,2,6
2679,1,3,99,9,9,1,4
2680,2,9,99,9,9,3,-1
2681,1,9,4,3,7,1,7
2682,2,9,4,3,7,1,8
2683,1,8,16,3,7,1,7
2684,2,1,18,1,5,2,7
2685,1,9,18,1,5,2,10
2686,2,9,9,3,8,1,9
2687,1,1,99,9,9,1,-1
2688,1,8,6,1,1,1,9
2689,2,4,13,5,1,1,9
2690,1,3,99,9,9,1,6
2691,2,9,99,9,9,3,-1
2692,1,3,99,9,9,1,5
2693,2,9,99,9,9,3,-1
2694,1,9,99,9,9,1,6
2695,2,9,99,9,9,3,-1
2696,1,3,18,4,8,1,7
2697,2,9,18,4,8,3,-1
2698,1,9,18,7,3,1,8
2699,1,1,4,4,8,1,6
2700,2,9,5,2,6,1,6
2701,1,3,18,5,1,1,6
2702,1,9,99,9,9,2,6
2703,2,9,99,9,9,3,9
2704,1,1,99,9,9,2,6
2705,2,9,99,9,9,3,-1
2706,1,9,99,9,9,3,6
2707,1,3,99,9,9,1,5
2708,2,9,99,9,9,3,-1
2709,1,3,99,9,9,1,7
2710,2,19,99,9,9,3,-1
2711,1,9,99,9,9,3,-1
2712,1,9,99,9,9,2,7
2713,1,19,99,9,9,1,6
2714,2,9,99,9,9,3,-1
2715,1,9,18,3,7,2,6
2716,1,9,99,9,9,1,7
2717,2,9,99,9,9,3,-1
2718,1,1,99,9,9,3,6
2719,2,19,99,9,9,3,7
2720,1,5,18,1,5,1,8
2721,2,9,9,5,3,2,6
2722,1,9,18,6,2,3,10
2723,1,9,99,9,9,2,9
2724,2,9,18,1,5,3,-1
2725,1,3,18,5,1,1,6
2726,1,9,99,9,9,2,6
2727,2,21,18,1,5,1,9
2728,1,9,99,9,9,2,6
2729,2,9,99,9,9,3,-1
2730,1,4,18,3,7,1,5
2731,2,19,18,3,7,1,8
2732,1,9,99,9,9,2,6
2733,1,9,18,1,5,1,9
2734,2,9,5,7,3,1,5
2735,1,9,4,5,1,2,8
2736,2,9,9,2,8,2,9
2737,3,1,18,6,2,2,6
2738,1,90,15,7,3,1,4
2739,1,9,18,5,1,1,9
2740,2,9,18,5,1,2,8
2741,3,9,18,1,5,2,8
2742,1,9,99,9,9,2,5
2743,2,98,99,9,9,1,8
2744,3,9,18,1,5,2,7
2745,1,9,18,7,3,1,4
2746,1,9,18,1,5,1,4
2747,1,9,99,9,9,3,6
2748,1,9,18,7,3,2,7
2749,1,9,18,1,5,2,7
2750,1,9,99,9,9,2,5
2751,2,9,99,9,9,3,-1
2752,1,1,99,9,9,1,6
2753,2,9,99,9,9,3,-1
2754,1,1,99,9,9,1,6
2755,2,9,99,9,9,3,-1
2756,1,8,18,1,5,1,6
2757,1,9,6,1,1,2,5
2758,2,3,13,5,1,1,7
2759,1,3,18,6,2,2,6
2760,2,9,18,1,5,3,-1
2761,1,9,7,1,2,3,-1
2762,2,1,18,6,2,1,10
2763,1,1,18,9,9,1,5
2764,2,8,6,9,9,3,7
2765,1,9,3,7,3,1,5
2766,2,90,18,7,3,1,7
2767,1,9,99,9,9,1,5
2768,1,3,18,3,7,1,6
2769,1,9,99,9,9,2,4
2770,2,9,99,9,9,3,5
2771,1,3,18,1,5,1,6
2772,1,9,18,5,1,1,9
2773,2,19,18,1,5,1,6
2774,1,9,18,8,4,3,-1
2775,2,19,18,8,4,1,7
2776,1,9,18,3,7,2,6
2777,2,1,18,3,7,1,7
2778,1,5,18,3,7,1,6
2779,2,19,9,2,7,1,9
2780,1,11,5,3,7,1,8
2781,1,9,18,1,5,1,8
2782,1,1,99,9,9,1,7
2783,1,9,99,9,9,1,7
2784,2,9,18,5,1,3,-1
2785,1,9,3,9,9,1,7
2786,2,9,1,9,9,1,8
2787,1,19,2,0,0,3,-1
2788,1,21,4,1,5,1,8
2789,2,21,18,5,1,2,7
2790,1,9,99,9,9,1,5
2791,2,10,99,9,9,1,6
2792,1,3,99,9,9,1,7
2793,2,9,99,9,9,3,-1
2794,1,9,99,9,9,3,-1
2795,1,21,3,7,3,1,5
2796,2,9,18,7,3,1,7
2797,1,1,99,9,9,1,7
2798,2,9,99,9,9,3,-1
2799,1,19,1,1,3,1,7
2800,1,1,99,9,9,1,6
2801,2,9,99,9,9,3,-1
2802,1,5,14,7,3,1,8
2803,1,9,99,9,9,2,7
2804,2,9,99,9,9,3,-1
2805,1,5,13,1,5,1,9
2806,2,9,18,1,5,1,9
2807,1,9,5,3,7,2,6
2808,2,5,7,5,6,1,8
2809,1,1,99,9,9,1,8
2810,2,9,99,9,9,3,-1
2811,1,3,99,9,9,1,6
2812,2,9,99,9,9,3,-1
2813,1,9,99,9,9,2,6
2814,2,9,99,9,9,3,-1
2815,1,9,5,5,1,1,9
2816,1,9,5,1,5,1,8
2817,1,3,99,9,9,3,6
2818,2,9,99,9,9,3,-1
2819,1,11,18,5,1,1,8
2820,1,9,9,1,7,1,7
2821,1,1,18,2,6,1,5
2822,1,1,99,9,9,3,4
2823,1,9,1,8,4,2,7
2824,1,9,99,9,9,2,6
2825,1,9,99,9,9,1,6
2826,2,9,99,9,9,2,6
2827,1,1,18,3,7,1,5
2828,1,9,18,7,3,2,9
2829,1,9,99,9,9,3,-1
2830,1,3,99,9,9,1,5
2831,2,9,99,9,9,3,-1
2832,1,9,18,1,5,2,7
2833,1,9,9,1,7,1,7
2834,2,5,18,5,1,1,6
2835,1,4,13,1,5,1,7
2836,2,9,10,3,1,2,5
2837,1,9,18,1,5,1,10
2838,1,9,7,5,6,2,8
2839,2,22,18,3,7,1,9
2840,1,3,14,3,7,1,5
2841,2,1,18,1,5,1,7
2842,1,8,18,4,8,1,7
2843,1,1,99,9,9,2,7
2844,1,9,18,3,7,1,5
2845,1,9,3,7,3,2,4
2846,2,9,3,7,3,2,7
2847,3,9,18,7,3,2,6
2848,4,9,18,7,3,1,8
2849,1,9,99,9,9,3,-1
2850,1,9,18,5,1,1,5
2851,2,9,18,7,3,1,9
2852,1,3,14,1,5,1,4
2853,1,9,18,1,5,1,5
2854,2,9,18,1,5,1,8
2855,3,4,8,3,5,1,6
2856,1,3,13,1,5,2,6
2857,2,9,9,1,8,3,-1
2858,1,9,18,5,1,2,8
2859,2,9,9,8,6,2,6
2860,1,9,6,7,7,1,8
2861,2,3,18,3,7,2,8
2862,1,9,99,9,9,1,7
2863,2,98,99,9,9,3,-1
2864,1,3,18,3,7,1,6
2865,2,9,6,3,3,1,4
2866,1,8,4,1,5,1,7
2867,2,3,4,1,5,1,4
2868,1,11,18,3,7,2,8
2869,1,3,99,9,9,2,6
2870,2,90,99,9,9,3,-1
2871,1,4,18,1,5,1,8
2872,2,1,5,7,3,1,8
2873,1,9,99,9,9,3,-1
2874,1,9,99,9,9,2,6
2875,2,98,99,9,9,3,-1
2876,1,19,18,1,5,1,5
2877,1,19,9,7,6,1,6
2878,2,1,8,3,4,1,9
2879,1,3,99,9,9,1,6
2880,2,9,99,9,9,3,-1
2881,1,19,18,3,7,1,6
2882,2,19,3,3,7,1,6
2883,1,9,9,1,7,2,7
2884,1,3,99,9,9,1,5
2885,2,9,99,9,9,3,-1
2886,1,98,5,5,1,3,-1
2887,1,9,14,3,7,1,8
2888,2,11,2,0,0,3,-1
2889,1,21,18,3,7,1,-1
2890,1,9,9,1,6,1,11
2891,2,1,9,2,8,1,9
2892,1,9,7,6,1,1,7
2893,2,2,18,6,2,1,4
2894,1,9,9,5,2,3,-1
2895,2,1,18,1,5,1,6
2896,1,9,18,2,6,3,-1
2897,2,11,18,6,2,1,8
2898,1,9,99,9,9,1,7
2899,2,9,18,1,5,1,-1
2900,1,19,18,3,7,1,7
2901,2,9,18,5,1,2,9
2902,3,11,18,1,5,1,6
2903,1,9,1,1,3,1,8
2904,1,19,5,5,1,1,9
2905,1,9,18,1,5,3,-1
2906,2,1,18,1,5,1,9
2907,1,3,18,8,4,2,5
2908,1,3,99,9,9,3,7
2909,2,9,99,9,9,3,-1
2910,1,9,18,1,5,1,11
2911,1,11,5,7,3,1,9
2912,2,3,5,7,3,1,8
2913,1,9,99,9,9,1,7
2914,2,8,99,9,9,3,8
2915,1,3,99,9,9,3,5
2916,2,9,99,9,9,3,-1
2917,1,9,99,9,9,1,8
2918,2,9,99,9,9,2,11
2919,1,3,99,9,9,1,5
2920,2,9,99,9,9,3,-1
2921,3,9,99,9,9,3,-1
2922,1,2,18,5,1,3,-1
2923,1,9,9,6,3,1,6
2924,2,3,13,6,2,1,6
2925,1,9,11,7,3,1,11
2926,1,9,9,7,5,2,5
2927,2,1,18,5,1,1,6
2928,1,9,9,7,4,2,9
2929,2,3,4,3,7,2,6
2930,1,9,6,3,3,3,5
2931,2,5,18,3,7,1,7
2932,1,9,5,1,5,1,6
2933,2,3,8,1,3,1,7
2934,1,9,5,1,5,3,-1
2935,2,1,18,3,7,1,7
2936,1,11,5,3,7,1,9
2937,2,9,13,3,7,3,-1
2938,1,9,18,5,1,2,8
2939,1,9,9,2,7,2,9
2940,1,9,99,9,9,2,6
2941,1,1,99,9,9,2,6
2942,2,10,99,9,9,3,-1
2943,1,9,18,6,2,1,9
2944,2,11,18,6,2,1,8
2945,3,9,18,6,2,1,6
2946,4,2,5,6,2,1,7
2947,1,9,18,1,5,1,7
2948,2,9,18,5,1,2,5
2949,1,8,5,1,5,1,7
2950,1,11,5,5,1,1,7
2951,1,9,7,5,7,1,9
2952,1,5,18,3,7,1,8
2953,2,9,4,3,7,1,7
2954,3,9,18,3,7,1,5
2955,1,9,18,1,5,2,6
2956,1,8,7,7,1,1,7
2957,2,1,18,7,3,1,6
2958,1,9,18,5,1,1,6
2959,2,9,2,0,0,3,-1
2960,1,9,5,5,1,1,7
2961,1,9,16,3,4,1,7
2962,2,1,17,3,2,1,4
2963,1,9,18,1,5,1,9
2964,2,9,2,0,0,3,-1
2965,3,9,2,0,0,3,-1
2966,4,9,2,0,0,3,-1
2967,1,3,5,7,3,1,6
2968,2,9,7,7,1,3,-1
2969,1,9,7,1,4,1,7
2970,2,9,18,1,5,1,6
2971,1,9,16,2,6,1,8
2972,2,19,9,5,2,1,10
2973,1,9,18,4,8,1,6
2974,2,19,2,0,0,3,-1
2975,3,9,2,0,0,3,-1
2976,1,9,17,5,1,1,7
2977,2,9,3,3,7,1,6
2978,1,1,99,9,9,1,8
2979,2,8,99,9,9,3,-1
2980,1,9,18,3,7,1,6
2981,2,9,15,3,7,1,9
2982,1,3,99,9,9,1,6
2983,2,9,99,9,9,1,7
2984,1,19,18,1,5,1,9
2985,2,11,18,1,5,1,9
2986,1,9,99,9,9,3,8
2987,1,1,99,9,9,1,6
2988,2,9,99,9,9,3,-1
2989,1,9,99,9,9,2,8
2990,1,9,1,5,1,1,5
2991,2,9,3,5,1,2,7
2992,3,9,3,5,1,1,7
2993,1,1,18,1,5,1,5
2994,2,9,10,4,2,2,-1
2995,1,3,99,9,9,3,6
2996,2,9,99,9,9,3,-1
2997,1,3,99,9,9,3,9
2998,2,9,99,9,9,2,9
2999,1,9,3,9,9,1,7
3000,2,20,1,9,9,1,6
3001,1,3,18,3,7,1,8
3002,2,9,7,5,8,2,8
3003,1,9,18,1,5,1,8
3004,1,9,4,1,5,2,7
3005,2,19,18,1,5,1,6
3006,1,9,9,1,7,3,-1
3007,2,8,18,7,3,1,7
3008,1,9,18,1,5,2,7
3009,2,9,18,5,1,1,6
3010,1,9,7,3,4,1,6
3011,2,1,7,7,2,1,8
3012,1,9,10,5,3,2,8
3013,2,9,18,1,5,2,7
3014,1,1,99,9,9,1,8
3015,2,9,99,9,9,3,-1
3016,1,3,99,9,9,1,6
3017,2,9,99,9,9,3,-1
3018,1,9,5,0,1,2,7
3019,2,9,2,0,0,3,-1
3020,3,9,12,5,1,1,4
3021,1,21,18,3,7,1,6
3022,1,11,18,7,3,1,7
3023,2,9,18,1,5,1,10
3024,1,3,99,9,9,1,6
3025,2,9,99,9,9,3,-1
3026,1,11,18,1,5,1,8
3027,1,3,99,9,9,1,7
3028,2,9,99,9,9,3,-1
3029,1,9,4,3,7,2,8
3030,1,1,99,9,9,1,6
3031,2,9,99,9,9,3,-1
3032,1,9,4,7,3,3,-1
3033,1,1,99,9,9,1,10
3034,2,9,99,9,9,3,-1
3035,1,11,99,9,9,1,9
3036,1,9,9,6,4,1,6
3037,2,3,14,7,3,1,4
3038,3,19,2,0,0,3,-1
3039,1,9,99,9,9,1,6
3040,2,19,99,9,9,3,-1
3041,1,9,18,7,3,1,9
3042,2,5,4,7,3,1,7
3043,1,9,9,1,6,2,9
3044,2,1,18,1,5,1,6
3045,1,1,99,9,9,3,7
3046,2,9,99,9,9,2,9
3047,1,9,9,5,3,1,4
3048,2,1,18,1,5,2,6
3049,1,9,18,7,3,1,8
3050,1,9,99,9,9,2,6
3051,2,9,99,9,9,1,-1
3052,1,3,17,3,7,1,6
3053,2,19,9,5,2,1,7
3054,1,9,99,9,9,1,6
3055,2,9,18,1,5,3,-1
3056,1,9,5,3,7,1,4
3057,1,1,99,9,9,1,5
3058,2,8,99,9,9,3,-1
3059,1,9,9,6,3,2,5
3060,2,90,3,3,7,1,7
3061,1,9,1,5,1,1,9
3062,1,9,10,1,6,1,6
3063,2,2,18,5,1,1,6
3064,1,9,4,5,1,2,6
3065,2,9,3,5,1,1,7
3066,3,3,3,5,1,2,7
3067,1,5,7,5,8,1,7
3068,2,9,18,5,1,1,5
3069,1,9,18,2,6,2,6
3070,2,5,5,1,5,1,4
3071,1,9,99,9,9,3,6
3072,1,9,9,3,1,1,9
3073,2,9,18,7,3,1,6
3074,1,9,99,9,9,3,-1
3075,1,9,7,1,3,2,7
3076,2,1,7,1,3,1,7
3077,1,9,18,1,5,3,-1
3078,2,90,18,1,5,2,4
3079,1,1,12,4,8,1,6
3080,1,1,99,9,9,3,-1
3081,1,3,99,9,9,3,7
3082,2,9,99,9,9,3,-1
3083,1,19,9,7,5,1,9
3084,2,1,18,7,3,1,8
3085,1,1,99,9,9,1,7
3086,2,9,99,9,9,3,-1
3087,1,9,99,9,9,2,7
3088,2,9,99,9,9,3,-1
3089,1,9,99,9,9,1,6
3090,2,9,99,9,9,3,-1
3091,1,1,99,9,9,1,6
3092,2,8,99,9,9,1,7
3093,1,1,99,9,9,1,6
3094,2,1,99,9,9,3,-1
3095,1,9,7,7,2,1,9
3096,2,3,15,6,2,1,7
3097,1,9,4,7,3,1,7
3098,2,1,15,7,3,1,6
3099,1,9,9,7,4,2,10
3100,2,1,14,3,7,2,9
3101,1,9,5,4,8,2,5
3102,2,9,5,1,5,2,7
3103,1,3,99,9,9,2,6
3104,2,9,99,9,9,3,-1
3105,1,9,4,7,3,2,10
3106,2,9,2,0,0,3,-1
3107,1,1,99,9,9,1,6
3108,2,9,99,9,9,3,-1
3109,1,4,18,1,5,1,6
3110,2,9,6,5,5,1,5
3111,1,3,99,9,9,3,6
3112,2,9,99,9,9,3,-1
3113,1,9,99,9,9,2,10
3114,2,9,99,9,9,3,-1
3115,1,1,99,9,9,1,4
3116,2,9,99,9,9,3,-1
3117,1,1,99,9,9,3,6
3118,2,9,99,9,9,3,-1
3119,1,19,7,8,2,1,6
3120,1,3,99,9,9,1,4
3121,2,19,99,9,9,3,-1
3122,1,1,99,9,9,2,7
3123,2,9,99,9,9,3,10
3124,1,9,99,9,9,2,6
3125,1,1,99,9,9,2,5
3126,2,9,99,9,9,3,-1
3127,1,11,99,9,9,3,-1
3128,1,1,18,5,1,3,5
3129,1,9,18,5,1,1,6
3130,1,19,9,7,5,1,8
3131,1,11,3,5,1,1,7
3132,1,1,99,9,9,2,6
3133,2,9,99,9,9,3,-1
3134,1,9,9,1,6,1,8
3135,2,3,18,6,2,2,5
3136,1,9,3,1,5,1,8
3137,2,3,18,1,5,1,4
3138,1,9,18,2,6,1,8
3139,2,9,9,4,2,1,9
3140,1,9,18,5,1,2,11
3141,1,3,18,3,7,1,5
3142,2,9,18,7,3,3,-1
3143,1,9,9,7,5,1,-1
3144,1,9,99,9,9,3,-1
3145,1,9,18,5,1,1,8
3146,2,8,18,5,1,1,8
3147,1,9,18,2,6,2,9
3148,1,9,99,9,9,2,6
3149,2,9,99,9,9,1,5
3150,1,9,99,9,9,1,6
3151,2,90,99,9,9,3,-1
3152,1,3,18,5,1,1,6
3153,2,9,6,1,1,2,7
3154,1,3,18,1,5,1,6
3155,2,9,6,1,1,1,6
3156,1,9,7,3,5,2,5
3157,2,9,18,1,5,3,-1
3158,1,9,9,5,2,1,10
3159,1,3,99,9,9,1,5
3160,2,19,99,9,9,3,-1
3161,1,9,99,9,9,1,7
3162,2,9,99,9,9,3,-1
3163,1,9,99,9,9,2,6
3164,2,9,18,7,3,1,6
3165,1,9,99,9,9,1,7
3166,2,9,99,9,9,3,-1
3167,1,9,18,3,7,1,6
3168,1,9,18,5,1,2,8
3169,2,9,2,0,0,3,-1
3170,3,9,2,0,0,3,-1
3171,1,9,1,1,5,1,8
3172,1,90,5,5,1,1,6
3173,2,9,5,5,1,1,6
3174,3,9,2,0,0,3,-1
3175,1,3,18,7,3,1,6
3176,1,1,99,9,9,1,11
3177,2,9,99,9,9,3,-1
3178,1,9,18,3,7,1,7
3179,2,9,18,5,1,1,5
3180,1,3,99,9,9,2,6
3181,2,9,99,9,9,3,9
3182,1,1,18,3,7,2,10
3183,1,97,99,9,9,3,-1
3184,1,11,5,0,5,1,9
3185,1,9,18,1,5,2,9
3186,2,9,18,5,1,2,4
3187,1,11,4,5,1,1,9
3188,2,9,7,5,7,2,6
3189,1,9,99,9,9,2,6
3190,1,9,5,7,3,1,8
3191,2,1,18,5,1,1,6
3192,1,9,99,9,9,2,7
3193,2,1,99,9,9,2,-1
3194,1,9,18,1,5,2,6
3195,1,9,4,8,4,1,8
3196,2,1,4,8,4,1,-1
3197,1,9,99,9,9,1,8
3198,2,9,99,9,9,3,-1
3199,1,9,99,9,9,3,-1
3200,1,9,99,9,9,2,8
3201,2,9,99,9,9,3,-1
3202,1,9,5,3,7,1,7
3203,1,1,99,9,9,1,7
3204,2,9,99,9,9,3,-1
3205,1,9,99,9,9,2,8
3206,2,8,99,9,9,3,-1
3207,1,9,99,9,9,3,8
3208,2,9,99,9,9,3,-1
3209,1,1,99,9,9,1,7
3210,2,9,99,9,9,1,8
3211,1,1,99,9,9,1,4
3212,2,9,99,9,9,3,9
3213,1,9,99,9,9,3,-1
3214,2,98,99,9,9,1,-1
3215,1,9,5,6,2,2,5
3216,1,9,9,1,6,1,9
3217,2,1,13,1,5,1,5
3218,1,9,18,7,3,1,6
3219,1,4,15,7,3,1,6
3220,2,9,7,7,1,1,6
3221,1,8,18,1,5,1,7
3222,1,3,18,1,5,1,7
3223,1,19,18,7,3,3,-1
3224,1,9,4,7,3,2,6
3225,2,9,9,5,3,1,7
3226,1,9,18,6,2,2,8
3227,2,9,18,6,2,1,7
3228,1,3,99,9,9,1,5
3229,2,9,99,9,9,3,-1
3230,1,3,99,9,9,3,6
3231,2,9,99,9,9,3,-1
3232,1,1,99,9,9,1,5
3233,2,9,9,7,5,1,6
3234,1,1,99,9,9,1,6
3235,2,9,99,9,9,3,-1
3236,1,9,3,7,3,3,-1
3237,2,1,5,7,3,1,9
3238,1,3,18,9,9,1,8
3239,2,9,5,9,9,3,-1
3240,1,9,8,5,7,1,5
3241,1,19,18,7,3,1,6
3242,2,21,4,7,3,1,8
3243,1,9,18,1,5,3,-1
3244,1,3,99,9,9,1,6
3245,2,9,99,9,9,3,-1
3246,1,9,4,2,6,2,7
3247,2,9,4,2,6,2,6
3248,3,9,4,2,6,1,5
3249,1,1,99,9,9,1,6
3250,2,9,99,9,9,3,-1
3251,1,9,99,9,9,3,6
3252,2,3,99,9,9,3,7
3253,1,9,7,3,6,1,4
3254,2,9,2,0,0,3,-1
3255,3,9,2,0,0,3,-1
3256,1,3,99,9,9,3,6
3257,2,9,99,9,9,3,-1
3258,1,9,18,5,1,1,10
3259,2,90,15,5,1,2,4
3260,1,9,18,7,3,2,8
3261,2,9,18,7,3,1,8
3262,3,9,18,7,3,2,7
3263,1,1,99,9,9,2,5
3264,2,9,99,9,9,1,6
3265,1,1,99,9,9,1,7
3266,2,9,99,9,9,1,6
3267,1,19,99,9,9,3,-1
3268,1,9,18,5,1,2,6
3269,2,19,2,0,0,3,-1
3270,1,3,99,9,9,3,6
3271,2,9,99,9,9,3,-1
3272,1,3,99,9,9,1,4
3273,2,9,99,9,9,3,-1
3274,1,9,18,8,4,3,-1
3275,1,9,99,9,9,1,8
3276,2,9,99,9,9,3,-1
3277,1,11,18,7,3,1,7
3278,1,9,99,9,9,2,7
3279,2,1,99,9,9,1,-1
3280,1,3,5,1,5,1,4
3281,2,11,18,1,5,1,7
3282,1,1,99,9,9,2,6
3283,2,9,99,9,9,3,-1
3284,1,1,18,9,9,1,6
3285,2,9,2,9,9,3,-1
3286,1,9,18,3,7,2,6
3287,2,9,2,0,0,3,-1
3288,3,19,2,0,0,3,-1
3289,1,8,99,9,9,3,-1
3290,2,9,99,9,9,1,6
3291,1,9,9,5,2,2,7
3292,1,9,18,1,5,2,7
3293,1,9,4,5,1,2,6
3294,1,9,18,5,1,1,7
3295,2,1,18,7,3,2,7
3296,1,3,99,9,9,1,6
3297,2,9,99,9,9,1,8
3298,1,9,18,5,1,1,6
3299,2,9,7,3,5,2,6
3300,3,9,18,3,7,1,6
3301,1,20,1,1,5,1,8
3302,1,9,18,1,5,1,8
3303,1,9,99,9,9,1,7
3304,2,9,99,9,9,3,-1
3305,3,8,99,9,9,3,-1
3306,1,9,5,0,1,1,9
3307,1,22,18,1,5,1,-1
3308,1,9,18,7,3,2,7
3309,1,19,3,7,3,1,6
3310,2,19,3,7,3,1,7
3311,3,9,18,3,7,1,7
3312,1,9,18,1,5,2,4
3313,2,9,2,0,0,3,-1
3314,1,8,12,8,4,1,5
3315,2,9,17,8,4,1,8
3316,1,1,99,9,9,1,6
3317,2,90,99,9,9,2,-1
3318,1,1,99,9,9,2,7
3319,2,19,99,9,9,3,-1
3320,1,19,18,7,3,1,5
3321,2,9,18,7,3,2,8
3322,3,9,18,7,3,1,7
3323,4,9,18,7,3,2,6
3324,5,9,18,7,3,1,5
3325,1,9,2,0,0,3,-1
3326,2,1,18,5,1,2,6
3327,1,3,99,9,9,1,6
3328,2,9,1,9,9,3,-1
3329,1,9,99,9,9,3,-1
3330,1,3,99,9,9,3,7
3331,2,9,99,9,9,3,-1
3332,1,3,99,9,9,1,6
3333,2,9,99,9,9,3,-1
3334,1,3,99,9,9,3,4
3335,2,9,99,9,9,3,-1
3336,1,3,18,1,5,1,6
3337,2,9,18,1,5,1,-1
3338,1,3,99,9,9,3,7
3339,2,9,99,9,9,3,-1
3340,1,1,99,9,9,1,8
3341,2,19,99,9,9,1,-1
3342,1,11,5,7,3,1,7
3343,1,8,99,9,9,1,7
3344,2,9,99,9,9,3,-1
3345,1,19,4,3,7,1,7
3346,2,3,4,3,7,1,4
3347,1,2,99,9,9,3,6
3348,2,9,99,9,9,3,-1
3349,1,9,18,5,1,1,6
3350,2,9,18,1,5,2,8
3351,1,9,9,7,5,1,8
3352,2,1,18,5,1,1,8
3353,1,9,3,7,3,1,8
3354,1,1,99,9,9,1,6
3355,1,9,99,9,9,3,5
3356,1,11,5,7,3,1,5
3357,1,3,99,9,9,3,5
3358,2,9,99,9,9,3,-1
3359,1,9,18,5,1,1,9
3360,2,9,7,4,6,1,5
3361,1,3,99,9,9,1,5
3362,2,9,99,9,9,3,-1
3363,1,1,99,9,9,1,9
3364,2,9,99,9,9,3,-1
3365,1,9,99,9,9,1,6
3366,2,9,7,7,1,3,-1
3367,1,9,9,7,5,1,8
3368,2,1,15,3,7,1,9
3369,1,9,7,5,8,2,8
3370,2,1,18,5,1,2,7
3371,1,9,7,5,8,1,6
3372,2,1,18,5,1,1,8
3373,1,9,1,1,5,1,-1
3374,2,1,18,5,1,1,6
